id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Stauridiosarsia	g__Stauridiosarsia	2.50358544856877	g__Stauridiosarsia	0.7187	red	-0.35	-0.533	-0.0976	-0.369	-0.347	0.353	0.119	-0.395	0.491	-0.0513
g__Stephanocyathus	g__Stephanocyathus	1.5303007520665601	g__Stephanocyathus	0.4765	red	-0.123	-0.334	-0.0659	-0.221	-0.19	0.171	0.0691	-0.22	0.191	-0.212
g__Stephanodiscus	g__Stephanodiscus	3.37189662780392	g__Stephanodiscus	0.76	red	-0.297	-0.727	-0.215	-0.426	-0.451	0.509	0.19	-0.474	0.375	-0.306
g__Stilophora	g__Stilophora	0.61707969260312	g__Stilophora	0.5542	red	-0.154	-0.499	-0.0998	-0.314	-0.411	0.212	0.0337	-0.28	0.394	-0.316
g__Stropharia	g__Stropharia	6.474158613731941	g__Stropharia	0.6264	red	-0.0002	-0.628	-0.0491	-0.217	-0.282	0.359	0.152	-0.359	0.272	-0.391
g__Thalassiosira	g__Thalassiosira	1.4493950457285902	g__Thalassiosira	0.6779	red	-0.4	-0.549	-0.175	-0.289	-0.351	0.355	0.214	-0.457	0.587	0.0168
g__Thecamonas	g__Thecamonas	2.0620261125999	g__Thecamonas	0.745	red	-0.39	-0.55	-0.212	-0.579	-0.519	0.368	0.143	-0.495	0.473	-0.225
g__TM7a	g__TM7a	0.298546748469098	g__TM7a	0.4077	red	-0.253	-0.305	0.0283	-0.387	-0.304	0.234	0.132	-0.302	0.274	-0.298
g__Tortanus	g__Tortanus	0.7389041813384479	g__Tortanus	0.4211	red	-0.0303	-0.417	-0.0499	-0.184	-0.235	0.239	0.0768	-0.31	0.21	-0.285
g__Trichococcus	g__Trichococcus	1.57188183620875	g__Trichococcus	0.6572	red	-0.304	-0.69	-0.11	-0.433	-0.348	0.456	0.157	-0.4	0.617	-0.149
g__Tricholoma	g__Tricholoma	0.48442309152937	g__Tricholoma	0.4462	red	-0.377	-0.362	-0.128	-0.373	-0.348	0.0681	0.0493	-0.224	0.458	0.0261
g__Tumidotheres	g__Tumidotheres	2.7682797550394	g__Tumidotheres	0.4881	red	0.0659	-0.514	-0.0125	-0.132	-0.304	0.428	0.219	-0.273	0.177	-0.321
