id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Pseudorhodoplanes	g__Pseudorhodoplanes	3.56713882211363	g__Pseudorhodoplanes	0.5891	magenta	0.211	0.0845	-0.0421	-0.0361	0.113	-0.129	-0.113	0.0291	-0.0581	0.002
g__Sarika	g__Sarika	3.66157472125776	g__Sarika	0.5982	magenta	-0.066	0.142	-0.0457	-0.0343	-0.0613	-0.118	0.007	-0.121	-0.0495	-0.0351
g__Schizymenia	g__Schizymenia	23.0538976177447	g__Schizymenia	0.8226	magenta	0.12	0.0981	-0.0271	-0.0294	-0.0316	-0.161	-0.0362	-0.071	-0.0188	-0.0916
g__Scopulariopsis	g__Scopulariopsis	2.68955544556333	g__Scopulariopsis	0.5814	magenta	-0.145	-0.342	-0.0607	-0.243	-0.193	0.162	0.174	-0.267	0.279	-0.218
g__Shewanella	g__Shewanella	0.524079001380197	g__Shewanella	0.4073	magenta	-0.155	-0.234	-0.0586	-0.152	-0.137	0.0747	-0.164	0.0526	0.137	0.0137
g__Sphaerodoropsis	g__Sphaerodoropsis	15.7674345369681	g__Sphaerodoropsis	0.7722	magenta	-0.152	0.108	-0.0321	-0.0324	-0.0113	0.0034	0.0267	-0.0849	0.0503	0.287
g__Sporosarcina	g__Sporosarcina	0.517684473836248	g__Sporosarcina	0.4276	magenta	-0.106	0.202	-0.0343	-0.0274	-0.0601	0.419	0.332	0.176	-0.184	-0.118
g__Staurocladia	g__Staurocladia	0.47468537655609705	g__Staurocladia	0.4191	magenta	-0.156	-0.143	-0.0117	-0.196	-0.191	0.116	-0.0049	-0.197	0.164	0.0254
g__Thyroscyphus	g__Thyroscyphus	39.3661011221317	g__Thyroscyphus	0.8989	magenta	-0.161	0.0889	-0.0206	-0.065	-0.0964	-0.314	-0.366	0.369	-0.0789	-0.0394
g__Tomocerina	g__Tomocerina	0.0608333105077619	g__Tomocerina	0.3015	magenta	0.0052	-0.373	0.0095	-0.0675	-0.189	0.107	0.133	-0.184	0.172	-0.308
