id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__norank_p__Desulfobacterota	g__norank_p__Desulfobacterota	2.6718460577403302	g__norank_p__Desulfobacterota	0.5808	turquoise	0.11	0.287	-0.0757	0.0692	0.113	-0.0509	0.105	-0.0423	-0.0818	-0.141
g__norank_p__MBNT15	g__norank_p__MBNT15	6.63210252856926	g__norank_p__MBNT15	0.7192	turquoise	0.182	0.189	-0.068	0.0973	0.27	-0.122	0.0228	-0.0187	-0.0509	-0.0304
g__norank_p__RCP2-54	g__norank_p__RCP2-54	6.418833066862559	g__norank_p__RCP2-54	0.7302	turquoise	0.171	-0.0176	-0.0769	-0.0758	0.113	-0.0631	0.196	-0.126	0.168	0.0464
g__norank_p__Sva0485	g__norank_p__Sva0485	2.79278794042912	g__norank_p__Sva0485	0.5934	turquoise	0.19	0.0007	-0.076	0.0529	0.198	-0.243	-0.262	0.212	0.0293	0.0356
g__Notheia	g__Notheia	0.427198857483359	g__Notheia	0.4225	turquoise	-0.216	0.215	-0.0805	-0.0806	-0.168	0.229	0.235	-0.147	-0.0737	0.0924
g__Notopala	g__Notopala	1.8095740272546499	g__Notopala	0.4407	turquoise	-0.487	-0.428	-0.112	-0.4	-0.404	0.0739	-0.113	-0.167	0.388	-0.123
g__Obelia	g__Obelia	0.35495735908983095	g__Obelia	0.4011	turquoise	0.13	-0.0247	0.0598	0.0007	-0.182	-0.144	-0.142	0.0736	0.0174	-0.0656
g__oc32	g__oc32	7.5188736868660495	g__oc32	0.7448	turquoise	0.0538	0.131	-0.0451	-0.0329	-0.0094	-0.205	0.0584	-0.0279	-0.0926	-0.126
g__OLB12	g__OLB12	8.111828481485059	g__OLB12	0.7763	turquoise	-0.116	0.17	-0.0953	0.2	0.325	-0.203	0.107	-0.0198	0.046	0.177
g__Oleiphilus	g__Oleiphilus	0.42489516530722604	g__Oleiphilus	0.3886	turquoise	0.0201	0.154	-0.0444	-0.0122	-0.0212	-0.119	-0.0142	-0.0249	0.005	0.24
g__Oligoflexus	g__Oligoflexus	1.26837782580949	g__Oligoflexus	0.5319	turquoise	-0.0762	0.219	-0.0593	-0.0742	-0.0547	0.133	0.129	-0.0173	-0.0787	0.0234
g__OM60NOR5_clade	g__OM60NOR5_clade	6.31390245767804	g__OM60NOR5_clade	0.7233	turquoise	-0.161	-0.263	-0.0912	-0.168	-0.0257	0.0854	0.19	-0.252	0.478	0.0231
g__Ovalopodium	g__Ovalopodium	1.14729450620995	g__Ovalopodium	0.4786	turquoise	-0.234	0.0375	-0.165	-0.128	-0.185	-0.269	-0.136	-0.0147	0.225	-0.0983
g__P3OB-42	g__P3OB-42	12.916389567443302	g__P3OB-42	0.831	turquoise	0.372	0.189	-0.0689	0.116	0.199	-0.126	-0.03	-0.0116	-0.0725	-0.0159
g__Paenarthrobacter	g__Paenarthrobacter	9.75469465268917	g__Paenarthrobacter	0.7758	turquoise	-0.137	0.166	-0.057	-0.0196	-0.0454	-0.0372	-0.0151	-0.131	-0.0116	0.318
g__Paludibaculum	g__Paludibaculum	0.510841131066517	g__Paludibaculum	0.3669	turquoise	0.0527	-0.0476	-0.0136	-0.21	-0.368	0.0822	0.0678	-0.271	0.0609	-0.324
g__Paracercomonas	g__Paracercomonas	15.265400920557498	g__Paracercomonas	0.8397	turquoise	0.0072	-0.105	-0.0434	-0.0675	-0.0987	-0.0962	-0.281	0.127	0.0727	-0.0937
g__Paramoeba	g__Paramoeba	8.79609126502687	g__Paramoeba	0.7847	turquoise	-0.0176	-0.0957	-0.0702	-0.0556	-0.0578	-0.0262	-0.025	-0.0832	0.0176	-0.0424
