id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Choreocolax	g__Choreocolax	1.79309163090227	g__Choreocolax	0.5029	brown	-0.0593	0.152	0.0027	-0.0191	-0.0876	-0.167	-0.0565	-0.0246	0.058	-0.0916
g__Chroogomphus	g__Chroogomphus	10.1423441714142	g__Chroogomphus	0.6888	brown	-0.193	-0.175	-0.0193	-0.0683	-0.0619	0.14	0.08	-0.212	0.198	0.0911
g__Cladothele	g__Cladothele	0.172148012396091	g__Cladothele	0.3187	brown	-0.305	-0.657	-0.0943	-0.336	-0.358	0.358	0.142	-0.386	0.467	-0.212
g__Clibanarius	g__Clibanarius	53.658797335074304	g__Clibanarius	0.9145	brown	0.13	0.0407	-0.0319	0.181	0.222	-0.0618	0.0482	0.0642	-0.0457	-0.0721
g__Cnuella	g__Cnuella	6.3838927032244195	g__Cnuella	0.6418	brown	0.0115	0.167	-0.0439	-0.064	0.0111	-0.208	-0.0181	-0.108	-0.0022	-0.156
g__Coelocladia	g__Coelocladia	0.51242986768093	g__Coelocladia	0.4067	brown	-0.323	0.0113	-0.0546	-0.157	-0.105	-0.024	-0.0499	-0.003	0.156	0.248
g__Coniferiporia	g__Coniferiporia	0.239338589762212	g__Coniferiporia	0.3149	brown	0.114	-0.549	0.0065	-0.0925	-0.256	0.357	0.123	-0.24	0.16	-0.27
g__Cordyceps	g__Cordyceps	0.742358283884969	g__Cordyceps	0.4275	brown	-0.259	-0.431	-0.0628	-0.254	-0.223	0.146	0.183	-0.168	0.383	-0.133
g__Coscinodiscus	g__Coscinodiscus	2.97958881363608	g__Coscinodiscus	0.573	brown	-0.0272	-0.29	-0.079	-0.119	-0.143	0.0566	-0.0492	-0.0051	0.0253	-0.45
g__Cosmospora	g__Cosmospora	1.07964225229108	g__Cosmospora	0.3929	brown	-0.1	0.196	0.0125	-0.0761	-0.116	-0.0544	-0.156	-0.0487	-0.0972	0.205
g__Ctenochauliodes	g__Ctenochauliodes	3.0632324644905697	g__Ctenochauliodes	0.5537	brown	-0.117	-0.295	0.0154	-0.233	-0.129	0.215	-0.0745	-0.155	0.0291	-0.0534
g__Cymathaere	g__Cymathaere	2.11591928064188	g__Cymathaere	0.5296	brown	-0.0487	-0.185	-0.032	-0.14	-0.112	0.123	0.105	-0.15	0.162	-0.105
g__Dactylosiphon	g__Dactylosiphon	0.627303248655968	g__Dactylosiphon	0.4322	brown	0.112	-0.0792	-0.0421	-0.0814	-0.0836	-0.0715	-0.236	0.127	-0.005	-0.0829
g__Dendrobium	g__Dendrobium	0.79821351913835	g__Dendrobium	0.4298	brown	-0.154	0.154	-0.0475	-0.0558	-0.0171	-0.0928	0.0854	-0.106	-0.0314	0.13
g__Digenea	g__Digenea	0.16617552894999402	g__Digenea	0.3238	brown	0.164	0.117	-0.0582	-0.0227	-0.131	-0.0017	0.0599	-0.139	-0.0091	0.0222
g__Diogenes	g__Diogenes	1.87062751458865	g__Diogenes	0.5283	brown	-0.279	0.0282	-0.0895	-0.243	-0.178	-0.0445	0.105	-0.306	0.184	-0.0022
