id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Synarmostes	g__Synarmostes	51.2401602872957	g__Synarmostes	0.9903	greenyellow										
g__Ficalbia	g__Ficalbia	51.2401602872957	g__Ficalbia	0.9903	greenyellow										
g__Procloeon	g__Procloeon	51.2401602872957	g__Procloeon	0.9903	greenyellow										
g__Leptonema	g__Leptonema	51.2401602872957	g__Leptonema	0.9903	greenyellow										
g__Hamacantha	g__Hamacantha	51.2401602872957	g__Hamacantha	0.9903	greenyellow										
g__Pseudocorticium	g__Pseudocorticium	51.2401602872957	g__Pseudocorticium	0.9903	greenyellow										
g__Caspiobdella	g__Caspiobdella	51.2401602872957	g__Caspiobdella	0.9903	greenyellow										
g__Eurysyllis	g__Eurysyllis	51.2401602872957	g__Eurysyllis	0.9903	greenyellow										
g__Osedax	g__Osedax	51.2401602872957	g__Osedax	0.9903	greenyellow										
g__Choeradoplana	g__Choeradoplana	51.2401602872957	g__Choeradoplana	0.9903	greenyellow										
g__Heterolepidoderma	g__Heterolepidoderma	3.3110190262354497	g__Heterolepidoderma	0.6338	greenyellow										
g__Opecarcinus	g__Opecarcinus	51.2401602872957	g__Opecarcinus	0.9903	greenyellow										
g__Taliepus	g__Taliepus	51.2401602872957	g__Taliepus	0.9903	greenyellow										
g__Scyllarus	g__Scyllarus	51.2401602872957	g__Scyllarus	0.9903	greenyellow										
g__Awacaris	g__Awacaris	51.2401602872957	g__Awacaris	0.9903	greenyellow										
g__Heteroxynema	g__Heteroxynema	6.5114016577566805	g__Heteroxynema	0.6822	greenyellow										
g__Meloidogyne	g__Meloidogyne	51.2401602872957	g__Meloidogyne	0.9903	greenyellow										
g__Phallocephale	g__Phallocephale	51.2401602872957	g__Phallocephale	0.9903	greenyellow										
g__Thyonidium	g__Thyonidium	51.2401602872957	g__Thyonidium	0.9903	greenyellow										
g__Astracme	g__Astracme	27.176182435984302	g__Astracme	0.9075	greenyellow										
g__Elatonitor	g__Elatonitor	51.2401602872957	g__Elatonitor	0.9903	greenyellow										
g__Pravonitor	g__Pravonitor	51.2401602872957	g__Pravonitor	0.9903	greenyellow										
g__Asyncoryne	g__Asyncoryne	21.334293601469103	g__Asyncoryne	0.8589	greenyellow										
g__Mitrocomella	g__Mitrocomella	6.80935090645125	g__Mitrocomella	0.7077	greenyellow										
g__Amastra	g__Amastra	51.2401602872957	g__Amastra	0.9903	greenyellow										
g__Anguispira	g__Anguispira	51.2401602872957	g__Anguispira	0.9903	greenyellow										
g__Leiostyla	g__Leiostyla	20.3368716924514	g__Leiostyla	0.8622	greenyellow										
g__Chelidonura	g__Chelidonura	31.012576705374798	g__Chelidonura	0.9245	greenyellow										
g__Iberozospeum	g__Iberozospeum	51.2401602872957	g__Iberozospeum	0.9903	greenyellow										
g__Licina	g__Licina	51.2401602872957	g__Licina	0.9903	greenyellow										
g__Stramonita	g__Stramonita	19.549228356272103	g__Stramonita	0.8505	greenyellow										
g__Dermatobranchus	g__Dermatobranchus	9.9013635809458	g__Dermatobranchus	0.7512	greenyellow										
g__Doriopsilla	g__Doriopsilla	51.2401602872957	g__Doriopsilla	0.9903	greenyellow										
g__Jorunna	g__Jorunna	51.2401602872957	g__Jorunna	0.9903	greenyellow										
g__Ziminella	g__Ziminella	20.855571500024897	g__Ziminella	0.8602	greenyellow										
g__Gerstfeldtiancylus	g__Gerstfeldtiancylus	9.3220555623565	g__Gerstfeldtiancylus	0.7307	greenyellow										
g__Cerithium	g__Cerithium	51.2401602872957	g__Cerithium	0.9903	greenyellow										
g__Resomia	g__Resomia	51.2401602872957	g__Resomia	0.9903	greenyellow										
g__Colobonema	g__Colobonema	45.01055032113971	g__Colobonema	0.9725	greenyellow										
g__Sepioteuthis	g__Sepioteuthis	11.7454349425684	g__Sepioteuthis	0.7586	greenyellow										
g__Lobonemoides	g__Lobonemoides	51.2401602872957	g__Lobonemoides	0.9903	greenyellow										
