id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Powelliphanta	g__Powelliphanta	66.276518033487	g__Powelliphanta	0.9954	pink										
g__Oligolimax	g__Oligolimax	66.276518033487	g__Oligolimax	0.9954	pink										
g__Diplommatina	g__Diplommatina	66.276518033487	g__Diplommatina	0.9954	pink										
g__Ranularia	g__Ranularia	25.2665861587637	g__Ranularia	0.8488	pink										
g__Phenacovolva	g__Phenacovolva	66.276518033487	g__Phenacovolva	0.9954	pink										
g__Syntomodrillia	g__Syntomodrillia	66.276518033487	g__Syntomodrillia	0.9954	pink										
g__Scabrotrophon	g__Scabrotrophon	66.276518033487	g__Scabrotrophon	0.9954	pink										
g__Siratus	g__Siratus	66.276518033487	g__Siratus	0.9954	pink										
g__Neoterebra	g__Neoterebra	19.2398039375009	g__Neoterebra	0.8072	pink										
g__Corambe	g__Corambe	12.4498542279188	g__Corambe	0.7359	pink										
g__Clio	g__Clio	49.268015566100296	g__Clio	0.9547	pink										
g__Oxynoe	g__Oxynoe	66.276518033487	g__Oxynoe	0.9954	pink										
g__Turbonilla	g__Turbonilla	66.276518033487	g__Turbonilla	0.9954	pink										
g__Padaungiella	g__Padaungiella	57.330811046133206	g__Padaungiella	0.9757	pink										
g__Chavturia	g__Chavturia	66.276518033487	g__Chavturia	0.9954	pink										
g__Coeloplana	g__Coeloplana	66.276518033487	g__Coeloplana	0.9954	pink										
g__Bargmannia	g__Bargmannia	1.21967494847025	g__Bargmannia	0.4956	pink										
g__Dictyostelium	g__Dictyostelium	66.276518033487	g__Dictyostelium	0.9954	pink										
g__Haliclystus	g__Haliclystus	44.1622457803852	g__Haliclystus	0.9306	pink										
g__Plasmodiophora	g__Plasmodiophora	30.3667036632417	g__Plasmodiophora	0.8778	pink										
g__Microheliella	g__Microheliella	25.2736031639835	g__Microheliella	0.8476	pink										
